Company,DIV'D,CMRK,TechRank,^vCM,HISTVO,INDUST,CMPRICE,VOLF,TKR,C/P,STRIKE,OPTKR,Record Number,EXPDAY,OI,VOL,BID,ASK,EST,DLTA,Bid oprk,Ask oprk,Bid UN/OV,Ask UN/OV,RVOPT,10%,-10%,CCMPRK,CCMPBE,CCMPRV,CCPWPA,CCPWPT,CCPWMX,I/OTM,THETA,Bid Implied,Ask Implied,VOLFADJ,PrtbStrk VOLF,Bid PrtbStrk Implied,Ask PrtbStrk Implied,PctDble,Margin,Yld Margin,Max Margin,ROBUY,ROWRT,ROCCMP,11/10/2021
Peabody Energy Corporation,0,1,9,e,0.89335,Metals & Mining (Div.),10.93,1.2847,BTU,C,13,BTU   211119C00013000,24217,11/19/2021 12:00:00 AM,3109,239,0.2,0.25,0.43683,20.84369,3,1,-0.27485,-0.21153,2960.964,1.40705,-0.69413,2,10.73,223.0933,0.68034,0.0183,0.21156,-0.18939,-2.99954,1.10363,1.19999,1.52193,0.24618,0.17187,0.19194,0.07107,0.1,0.18347,0.18298,11237,120562,76655
Intel Corporation,0.02758,2,3,,0.34794,Semiconductor,50.87,0.62776,INTC,C,49.5,INTC  211119C00049500,19540,11/19/2021 12:00:00 AM,3877,1108,1.53,1.61,2.36093,78.86353,3,1,-0.6014,-0.53286,1824.36,3.10116,-0.99588,3,49.30156,18.82359,0.14594,0.03083,0.004,0.02693,-2.72221,0.19169,0.22465,0.48091,0.63291,0.80287,0.76636,0.03225,0.2,0.01621,0.15038,6760,115374,211842
Intel Corporation,0.02758,2,3,,0.34794,Semiconductor,50.87,0.62776,INTC,C,50,INTC  211119C00050000,6607,11/19/2021 12:00:00 AM,9755,1411,1.18,1.24,1.95201,69.32,3,1,-0.55135,-0.5057,2027.335,3.9085,-0.99755,3,49.65156,25.35588,0.25529,0.02395,0.00699,0.0171,-3.27606,0.20023,0.2206,0.44629,0.5909,0.69579,0.67904,0.02559,0.2,0.03095,0.11598,8149,118533,207786
Snap Inc,0,1,1,,0.64325,Internet,53,0.78908,SNAP,C,50,SNAP  211119C00050000,61907,11/19/2021 12:00:00 AM,1021,208,3.45,3.6,3.98864,79.01268,3,1,-0.31596,-0.22187,1284.102,1.37097,-0.82452,3,49.55,24.55011,0.33148,0.06509,0.00908,0.0566,-6.02178,0.43209,0.49152,0.63167,0.71292,0.79432,0.76491,0.07294,0.2,0.04294,0.32547,10442,117511,94375
Snap Inc,0,1,1,,0.64325,Internet,53,0.78908,SNAP,C,51,SNAP  211119C00051000,95042,11/19/2021 12:00:00 AM,535,183,2.72,2.82,3.15264,71.15213,3,1,-0.24435,-0.1865,1349.511,1.66563,-0.86317,2,50.28,30.78976,0.52267,0.05132,0.01432,0.03774,-6.94209,0.43552,0.46886,0.57635,0.65847,0.70552,0.69213,0.06004,0.2,0.06841,0.2566,13341,139279,65393
Intel Corporation,0.02758,2,3,,0.34794,Semiconductor,50.87,0.62776,INTC,C,51.5,INTC  211119C00051500,24241,11/19/2021 12:00:00 AM,3106,1101,0.45,0.47,1.17305,37.07104,3,1,-0.50647,-0.49195,3902.743,8.66746,-0.99944,3,50.38156,50.81164,0.35334,0.0096,0.02218,-0.01238,-3.56223,0.21519,0.22152,0.43602,0.43082,0.36198,0.36577,0.01154,0.18762,0.04763,0.04715,9104,121991,201548
Intel Corporation,0.02758,2,3,,0.34794,Semiconductor,50.87,0.62776,INTC,C,52,INTC  211119C00052000,16803,11/19/2021 12:00:00 AM,4486,2242,0.31,0.33,1.06363,28.00115,3,1,-0.5245,-0.50917,5296.651,11.3688,-0.9996,3,50.52156,61.66568,0.25137,0.00685,0.02924,-0.02221,-3.23447,0.21992,0.22701,0.4625,0.38571,0.2706,0.27695,0.0088,0.17779,0.03476,0.03428,7969,120600,204403
Intel Corporation,0.02758,2,3,,0.34794,Semiconductor,50.87,0.62776,INTC,C,52.5,INTC  211119C00052500,8283,11/19/2021 12:00:00 AM,8126,1053,0.22,0.24,1.01626,21.06141,3,1,-0.54398,-0.52761,7050.225,14.14769,-0.99961,3,50.61156,73.48306,0.18612,0.00508,0.03728,-0.03204,-2.88692,0.22923,0.23746,0.50268,0.35111,0.20091,0.20916,0.00707,0.16796,0.02623,0.02575,7035,119078,206937
Snap Inc,0,1,1,,0.64325,Internet,53,0.78908,SNAP,C,57,SNAP  211119C00057000,21989,11/19/2021 12:00:00 AM,3441,1588,0.49,0.52,0.9768,20.79791,3,1,-0.25983,-0.24236,3309.224,4.30105,-0.94413,2,52.51,99.93838,0.3406,0.00925,0.08551,-0.07547,-6.46515,0.50434,0.51624,0.68138,0.26082,0.19331,0.19883,0.02325,0.12453,0.07473,0.07424,9072,121727,70785
eBay Inc,0.01034,1,3,,0.29321,Internet,73.27,0.38651,EBAY,C,76,EBAY  211119C00076000,52963,11/19/2021 12:00:00 AM,1259,356,0.42,0.46,0.69307,22.61847,3,1,-0.20361,-0.17215,3522.922,9.89708,-0.99731,2,72.82924,50.04579,0.22077,0.00602,0.04352,-0.03726,-5.25165,0.27813,0.28912,0.34924,0.26456,0.21469,0.22356,0.0101,0.16274,0.03571,0.03522,14624,143361,52328
PayPal Holdings Inc,0,1,1,,0.34927,Financial Svcs. (Div.),204.43,0.44175,PYPL,C,210,PYPL  211119C00210000,12300,11/19/2021 12:00:00 AM,5885,9917,2.44,2.47,3.24947,33.12036,3,1,-0.15951,-0.15351,2393.756,5.37356,-0.98436,2,201.99,50.36037,0.44091,0.01194,0.03966,-0.02725,-21.36178,0.34176,0.3442,0.40662,0.34745,0.32038,0.32156,0.01861,0.17275,0.06958,0.06909,16406,147952,41111
PayPal Holdings Inc,0,1,1,,0.34927,Financial Svcs. (Div.),204.43,0.44175,PYPL,C,212.5,PYPL  211119C00212500,49583,11/19/2021 12:00:00 AM,1374,2143,1.74,1.83,2.78046,26.05296,3,1,-0.21025,-0.19133,3017.74,6.57034,-0.98801,2,202.69,59.04808,0.31334,0.00851,0.0484,-0.03948,-19.1817,0.34054,0.3487,0.4312,0.2961,0.2488,0.25386,0.01522,0.16052,0.05351,0.05302,12880,142695,54292
PayPal Holdings Inc,0,1,1,,0.34927,Financial Svcs. (Div.),204.43,0.44175,PYPL,C,215,PYPL  211119C00215000,29297,11/19/2021 12:00:00 AM,2552,2369,1.31,1.37,2.4823,20.49104,3,1,-0.2425,-0.22896,3698.841,7.64908,-0.98934,2,203.12,68.08912,0.2354,0.00641,0.05849,-0.0517,-17.18178,0.3503,0.35656,0.46244,0.25711,0.1946,0.19879,0.01307,0.1483,0.0437,0.04321,9929,139453,64785
Carvana Co,0,1,2,,0.76985,Retail Automotive,288.01,0.66351,CVNA,C,295,CVNA  211119C00295000,201978,11/19/2021 12:00:00 AM,122,107,2.99,3.7,8.09226,33.86991,3,1,-0.4833,-0.41336,3633.257,5.76003,-0.98905,3,285.02,71.20006,0.3829,0.01038,0.03502,-0.02427,-28.42814,0.30041,0.34107,0.5814,0.40356,0.31828,0.33864,0.01736,0.17573,0.05956,0.05908,3049,110596,176567
Carvana Co,0,1,2,,0.76985,Retail Automotive,288.01,0.66351,CVNA,C,297.5,CVNA  211119C00297500,239733,11/19/2021 12:00:00 AM,80,89,2.4,2.99,7.26161,28.58259,3,1,-0.4758,-0.4136,4109.954,6.58008,-0.99045,3,285.61,77.54343,0.30671,0.00833,0.04163,-0.03295,-26.76977,0.30735,0.34382,0.58632,0.37106,0.26509,0.28735,0.0152,0.16705,0.05037,0.04988,3046,110755,173394
Carvana Co,0,1,2,,0.76985,Retail Automotive,288.01,0.66351,CVNA,C,300,CVNA  211119C00300000,24134,11/19/2021 12:00:00 AM,3119,723,1.84,2.41,6.53179,23.72625,3,1,-0.47919,-0.4138,4724.836,7.61842,-0.99205,3,286.17,83.70762,0.23469,0.00639,0.04833,-0.04163,-24.47541,0.30865,0.3474,0.59263,0.34059,0.21509,0.24169,0.01313,0.15837,0.04083,0.04034,3044,110680,174859
Meta Platforms Inc,0,1,1,,0.33247,Internet,327.76,0.41672,FB,C,317.5,FB    211119C00317500,50133,11/19/2021 12:00:00 AM,1354,24,12.6,12.85,13.61306,75.72116,3,1,-0.17037,-0.12712,1059.896,2.39563,-0.96803,2,315.16,15.30061,0.27101,0.03844,0.00742,0.0313,-25.72407,0.28233,0.29705,0.34031,0.71675,0.7552,0.74431,0.04174,0.2,0.03618,0.19221,18930,146803,43582
Meta Platforms Inc,0,1,1,,0.33247,Internet,327.76,0.41672,FB,C,340,FB    211119C00340000,1432,11/19/2021 12:00:00 AM,26693,8702,2.02,2.07,3.22482,23.06675,3,1,-0.1948,-0.18621,3464.539,9.5407,-0.99693,2,325.74,50.58788,0.22635,0.00616,0.04378,-0.03734,-24.0701,0.28591,0.28896,0.35508,0.26909,0.22229,0.2247,0.01048,0.16266,0.03838,0.03789,13373,144264,49856
Alphabet Inc,0,1,3,,0.26889,Internet,2936.34,0.27706,GOOG,C,3015,GOOG  211119C03015000,277334,11/19/2021 12:00:00 AM,52,23,11.4,12.9,19.50494,22.11642,3,1,-0.21473,-0.17288,4099.908,16.86891,-0.99994,2,2924.94,35.73991,0.14226,0.00388,0.03079,-0.02679,-147.2731,0.19459,0.20496,0.2478,0.26346,0.2102,0.22215,0.00593,0.17321,0.0229,0.02241,14557,142222,55722
Alphabet Inc,0,1,3,,0.26889,Internet,2936.34,0.27706,GOOG,C,3020,GOOG  211119C03020000,170292,11/19/2021 12:00:00 AM,180,121,10.4,11.8,18.86706,20.63395,3,1,-0.22721,-0.18689,4455.429,18.11751,-0.99995,2,2925.94,36.9934,0.12974,0.00354,0.03215,-0.02849,-141.2241,0.19451,0.20466,0.2517,0.25377,0.19558,0.20754,0.00552,0.17151,0.02114,0.02065,13290,140954,59708
Snap Inc,0,1,1,,0.64325,Internet,53,0.73348,SNAP,C,58,SNAP  211126C00058000,39368,11/26/2021 12:00:00 AM,1828,794,0.63,0.66,1.11614,21.34097,3,1,-0.21895,-0.20443,2269.182,3.06388,-0.89118,2,52.37,90.25978,0.25829,0.01189,0.1075,-0.09434,-4.83254,0.48397,0.49297,0.61964,0.25207,0.19621,0.20056,0.03264,0.10566,0.11332,0.1125,11818,141747,57080
Micron Technology Inc,0.00561,1,2,,0.46027,Semiconductor,73.58,0.39895,MU,C,71,MU    211126C00071000,105444,11/26/2021 12:00:00 AM,451,551,3.35,3.45,3.99578,73.02078,3,1,-0.2972,-0.24916,1050.489,1.94258,-0.91561,3,70.21077,19.83172,0.24101,0.04579,0.01123,0.03506,-4.69755,0.27897,0.29804,0.39694,0.66394,0.72648,0.71351,0.05148,0.2,0.05315,0.22764,8632,118848,85847
Micron Technology Inc,0.00561,1,2,,0.46027,Semiconductor,73.58,0.39895,MU,C,72,MU    211126C00072000,96467,11/26/2021 12:00:00 AM,522,56,2.72,2.78,3.34772,64.99651,3,1,-0.26843,-0.24234,1166.621,2.28505,-0.93108,2,70.84077,25.39438,0.35103,0.03723,0.01635,0.02147,-5.26508,0.2866,0.29682,0.39176,0.60388,0.6406,0.63595,0.04376,0.2,0.07829,0.18483,9075,121072,74072
